id,user,timestamp,commentText
UgyNV2Kd1cuE6gWbZ2l4AaABAg,VideosWith Kinzee,1535441201815,34 on trending safiya
UgzSsmpXTJHzBf8M8zx4AaABAg,ShanG,1535441201818,Apparently bugs live in our eyebrows and lashes but we don't see any under that microscope?
UgxNhPbDDHkrE36ywOR4AaABAg,Stephanie Ott,1535441201829,what is butt scrub
Ugwy21nm5zzmIYP6O0p4AaABAg,Green Adventurine,1535441201833,"Mix every one of your makeup products together into one, and wear it!"
Ugzb70PL_y7T0jKXgnt4AaABAg,Belinda Short,1535441201842,I wish I understood why Honey sponsors so many people when Ebates is SOOOOO much better because you get the same discounts AND cash back.
Ugx5qyxH7dZEfScp5PZ4AaABAg,Sophia Agag,1535437601846,"5.9 MILLION!!!!!



ALMOST AT 6 MILLION!!!!!!!!"
UgyJcNBuqDSRKgsJHj94AaABAg,gemberryy gbug,1535437601855,"""That was more than I bargained for"" FALL OUT BOY FANS QUAKING"
UgzugFx2nxhxGVdTzKp4AaABAg,Staci S,1535437601865,“Look closely are the white specks moving?” 😂😂😂😂😂
Ugxs_27mllKFu1IO03t4AaABAg,Stray Kids,1535437601868,Okay don’t eat whilst watching this it’s disgusting 😣
Ugwp0qRys-1gSdNBzM14AaABAg,Millie Q,1535437601877,"Take a shot every time Safiya says ""right off the bat"""
UgxcmM2hssbldxDJT_Z4AaABAg,Mel Marie,1535437601881,Mix every color of hair dye.
UgzWKF2cTbYhQi8hxjZ4AaABAg,Help Me.,1535437601890,She had such a Shane Dawson worthy thumbnail.
UgxgA9zGlBlxvOr_oTN4AaABAg,Fake_Girl TDM,1535437601894,EXCUSE ME. IM EATING NOW IM GAGING
Ugxrm5bsLcQUVUfdIYh4AaABAg,Nuts of heaven,1535437601904,Peaches and cream?! Im such a bts trash...i need to StAhP
Ugx9wPyaea6eRy2Ygjx4AaABAg,Tin Bernas,1535437601914,Hey guys! You can contact brands and work with them for free at Phlanx.com
UgxxKVI2R-TfYP53jbN4AaABAg,[YT]OpRage27,1535437601918,Just a male passing by
UgzJByQFPpx7jYwksqd4AaABAg,makayla white,1535437603646,love how safiyas mirror is on top of a cards against humanity box
