id,user,timestamp,commentText
UgzKnv9irpTMrXtXax94AaABAg,YouWish TV,1534883097286,https://www.youtube.com/watch?v=fdUIqfANs5E&feature=youtu.be
UgwM54CEvdCL_-Z-sY14AaABAg,josedokarmo,1534883097290,Awesome
Ugw6YsvnbnxZSVkVfvl4AaABAg,HelloThereDaily,1534883097296,"H e l l o  t h e r e




I don’t understand how I have 34,655 s u b s !"
UgwpExjH1jIPa8TUMCZ4AaABAg,Yaiza Ballen,1534883037302,Camila mendes 😍😍😍😍❤
UgzXktcdSiUZibJJeIR4AaABAg,Teodora Savova,1534883037307,Camiiii teach me how to dance😍😍 damnnnn
Ugww15cBMsHuFamqVXx4AaABAg,Pillow Fight,1534883037311,Beatiful the song
UgzVHLXw4vzNL3ZF7H14AaABAg,1willFALL,1534883037317,Anyone here before 500k?
UgyKHb9ivvvZ28HObjB4AaABAg,Davis sousa,1534883038319,Camila Mendes ♥♥🇧🇷🇧🇷
UgxRl3m-kbLbal3_ZKN4AaABAg,Aurora Hale,1534882978330,Camila makes this song 163927396 times better
UgyoNWqaJX2O1OnPP_l4AaABAg,Bri B.,1534882978337,Ohhh soo cool😍 I love Camila💃
UgyqLdH8X7BCiC7zBSR4AaABAg,Mangoonie,1534882978344,The video is making it 100% better
UgzQQDGIEiz0qt-mTZZ4AaABAg,PinkzDiamond,1534882978349,"Here before 500,000 views"
UgylEHRCb5wd1Jnb_Od4AaABAg,Moh Kb,1534882978357,Additcing music and video clip this year😍❤
Ugw0212X2oayWeFAgPZ4AaABAg,Stoian Madalina,1534882918363,OMG Camillaaaaa😍😍😍😍😍
UgxRi2NZTa385dnbWed4AaABAg,Gorrex GG,1534882918369,"PLEEEAAASE BRROOS SUBSCRIBE ME PLLEEAAZE
I LOVE YOU ALL"
Ugxol_SLGnKcGnF0tjJ4AaABAg,Mile Salinas,1534882918376,Camila😍
UgxZ1BVYCAD-9j9Cgmd4AaABAg,Danielecki Klimecki,1534882918380,Nice music
UgyKBz-_uR-GNIP-2Sl4AaABAg,xxunicorn_dreamsx x,1534882858386,Literally how Andrews just dancing in the background 😂
UgxfiExSEyNfzV5jFNd4AaABAg,Tip Tig,1534882858391,nice
Ugzl_JwRqUd1y02v1TN4AaABAg,yuh yuh,1534882858396,3rd in trending!!!!!!!
UgzWfiiWV1TgceNQBCh4AaABAg,schwerelvs,1534882858402,Love it
UgwOMG9Xmm03g200wg14AaABAg,schwerelvs,1534882858407,damnnnn
Ugx_g0tErLv2VPC80wd4AaABAg,S Laurenzana,1534882858412,So this is what Veronica does when her friends aren't around.
Ugxsec3uZBTlaoU0M4J4AaABAg,Miss Mae,1534882798417,CAMI MENDES! yasssssss
UgxYkL0SqoPErKKunhV4AaABAg,mraustinl90,1534882798450,White peoples love this shit.
Ugyf4uKD8kv-mV4NfaR4AaABAg,jenifer nattaly,1534882798456,Camiiii 😍
UgwzCPQkvu_ntw-uubR4AaABAg,Errold Tumaque,1534882798462,emily warren should just be a permanent member of the chainsmokers if theyre going to use her so much tbh
UgzMfCtTn4PWCRbTmoh4AaABAg,SD GM Fearless Revolution,1534882739652,YES
UgxQ3K3CXgAI46ebHNN4AaABAg,Mariana,1534882739659,😍😍😍😍😍😍😍
Ugyr_eQeeIghBtBOy294AaABAg,Grace Pierle,1534882739665,Is that the girl from Riverdale?
Ugwgbc9GpQiY3exV-O54AaABAg,Ana Carolina Duarte,1534882679671,🇧🇷
UgxdWcammzKASSqygUt4AaABAg,Gustavinho,1534882679676,CAMILAAAAAA TE AMO
UgxVqlloECysttSQNGN4AaABAg,Nelson Hobbs,1534882619682,absolute  B O P
UgxwWVsdGX8FBMVe7U14AaABAg,WereBatman,1534882619687,CAMILA MENDES IS SO FREAKIN PRETTY
UgwVzx-4wbnrT0rpVxR4AaABAg,Diya Nair,1534882619695,What Camila does while Archie's in jail 😂😂😂👌
UgyjSMQLNm_qRxhsrwx4AaABAg,Makayla McNutt,1534882619700,That twerk tho
UgwTzenhyT_ggM3O3L94AaABAg,Steve,1534882619706,The Chainsmokers new vibe is great.
Ugz6aD2isT4ZBrpS3yF4AaABAg,Davidbrandy kbc mitglied,1534882559713,cool song
Ugy53jTEuEAmWrG6_8B4AaABAg,Ariel Kozak,1534882559720,"i hate that pink shirt tbh honest, but verry gorgeous girl, id rather her to be seen in a sweatshirt"
UgwOQeVoyyai71AxSTl4AaABAg,Camila Esteves,1534882499728,Queen
UgzIxuTbnMQVOWg6gKF4AaABAg,Ãll Bōut Tech,1534882499735,Damn Riverdale season 3😆😆
UgwTW3y2i6hKqe7vCNp4AaABAg,Matheus Menezes,1534882499739,Perfect!
Ugx1Mtmp3tccwSB7E6l4AaABAg,gabouchi n,1534882499747,It's so good!!
UgwxS9WpR7wWaDekaKF4AaABAg,Zak Jimmy Leigh,1534882499751,"what a vocal, what a melody... damn"
UgylvCJca14MbZrD0Ah4AaABAg,Makayla McNutt,1534882499757,Cami♥️
UgzwJ3hnoA36BllV8lp4AaABAg,sera wilson,1534882439762,1K dislikes are from Hiram
UgwXrqu_17suQ0isc0x4AaABAg,Conrad Voyles,1534882379770,"Horrible song, worse video."
Ugw9NGrC60NOWTDW47p4AaABAg,TOP 10,1534882380862,Damn ... Camila made this song much better than it already was ... I can not stop listening
UgyJA81UjZizd9AYC7t4AaABAg,Robin,1534882380868,Sounds like Sia
Ugy4aX8qHPDZUpbvTrZ4AaABAg,Lillie Hernandez,1534882380874,💗💗🤩🤩🤩 I loveeeee this sooo much
UgwTOY56E2frCwGBCy14AaABAg,The_unicorn101 Roro,1534882380880,The song is DA BEST I just didn’t like that the dancing
UgwFtQfHu-sv1-U9HQh4AaABAg,Diya Nair,1534882380885,Before million
UgyUX1n1XqdAwRi_fh54AaABAg,Julia Wakefield,1534882380892,Love Camila ❤️
Ugyw-YgvnZsyQR3uTAR4AaABAg,Nasur Akhtar,1534882380897,This rules out that she is not the black hood as this is what she does in her spare time lol
UgxzYy8VsrpXgio51_x4AaABAg,Thaísa Emanuelly,1534882380904,Camila Mendes 🇧🇷
UgzS-MGqnpvRz1YyyGJ4AaABAg,King Bartu,1534882320909,"I'd get 
fired for that"
UgwpX70nBcmvIgE7Hdl4AaABAg,drummmerkid926,1534882320916,https://www.gofundme.com/mdppm6-dental-work
UgzhMiSzcQ4ZyVeLPHp4AaABAg,SuppaaHit niga,1534882320920,2020??
Ugx1Qjwf6EWiDk62uzF4AaABAg,Bryan Terry,1534882320953,A that Veronica Lodge???!?!?!  😱😂
Ugw_Wqq_Wt0HbqOA36V4AaABAg,Nasur Akhtar,1534882320961,So is RiverDale episodes going to be all musicals lol
UgyygDORCM_yijlZ3mh4AaABAg,Rashmi Michela.,1534882320967,Camila.😍
UgzUpM_dylLHEqTUrQt4AaABAg,Rodrigo Colina.,1534882260972,NICE! Camila is so beautiful. <3 #Venezuela
UgxvbngSXZk_ckuDC8F4AaABAg,Bella A,1534882260979,The song is amazing and Cami is so cute ❤️😍
